"","adm","Var.3","No admission","Admitted","Total","p"
"14","sex","Male","329251 (44.7)","63925 (45.0)","393176 (44.7)","0.045"
"15","","Female","407629 (55.3)","78222 (55.0)","485851 (55.3)",""
"1","age_grp","65-69","248642 (33.7)","25949 (18.3)","274591 (31.2)","<0.001"
"2","","70-74","182747 (24.8)","26280 (18.5)","209027 (23.8)",""
"3","","75-79","140352 (19.0)","29142 (20.5)","169494 (19.3)",""
"4","","80-84","93286 (12.7)","28162 (19.8)","121448 (13.8)",""
"5","","85-89","48620 (6.6)","20530 (14.4)","69150 (7.9)",""
"6","","90-94","18675 (2.5)","9746 (6.9)","28421 (3.2)",""
"7","","95 plus","4558 (0.6)","2338 (1.6)","6896 (0.8)",""
"16","simd","1","57167 (7.8)","16376 (11.5)","73543 (8.4)","<0.001"
"17","","2","65025 (8.8)","16140 (11.4)","81165 (9.2)",""
"18","","3","73568 (10.0)","17042 (12.0)","90610 (10.3)",""
"19","","4","76129 (10.3)","16053 (11.3)","92182 (10.5)",""
"20","","5","78641 (10.7)","15174 (10.7)","93815 (10.7)",""
"21","","6","80634 (10.9)","14267 (10.0)","94901 (10.8)",""
"22","","7","77689 (10.5)","12919 (9.1)","90608 (10.3)",""
"23","","8","75709 (10.3)","11832 (8.3)","87541 (10.0)",""
"24","","9","76153 (10.3)","11575 (8.1)","87728 (10.0)",""
"25","","10","76165 (10.3)","10769 (7.6)","86934 (9.9)",""
"12","scs_flag","No Social Care","664961 (90.2)","98988 (69.6)","763949 (86.9)","<0.001"
"13","","Social Care","71919 (9.8)","43159 (30.4)","115078 (13.1)",""
"26","total_ch","0","92032 (12.5)","5600 (3.9)","97632 (11.1)","<0.001"
"27","","1","117212 (15.9)","10331 (7.3)","127543 (14.5)",""
"28","","2","136119 (18.5)","17111 (12.0)","153230 (17.4)",""
"29","","3","128305 (17.4)","22786 (16.0)","151091 (17.2)",""
"30","","4","105399 (14.3)","25015 (17.6)","130414 (14.8)",""
"31","","5","74375 (10.1)","23282 (16.4)","97657 (11.1)",""
"32","","6+","83438 (11.3)","38022 (26.7)","121460 (13.8)",""
"8","care_home","Not Care Home","715900 (97.2)","133967 (94.2)","849867 (96.7)","<0.001"
"9","","Care Home","20980 (2.8)","8180 (5.8)","29160 (3.3)",""
"10","prev_adm","FALSE","736880 (100.0)","139185 (97.9)","876065 (99.7)","<0.001"
"11","","TRUE","0 (0.0)","2962 (2.1)","2962 (0.3)",""